"COMMON_NAME","SCIENTIFIC_NAME","CATEGORY","order","family","scientific name"
"Pacific Parrotlet","Forpus coelestis","species","Psittaciformes","Psittacidae (New World and African Parrots)","Forpus coelestis"
"Fischer's Lovebird","Agapornis fischeri","species","Psittaciformes","Psittaculidae (Old World Parrots)","Agapornis fischeri"
"White-crowned Parrot","Pionus senilis","species","Psittaciformes","Psittacidae (New World and African Parrots)","Pionus senilis"
"Golden Pheasant","Chrysolophus pictus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Chrysolophus pictus"
"Oriental White-eye","Zosterops palpebrosus","species","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)","Zosterops palpebrosus"
"White Cockatoo","Cacatua alba","species","Psittaciformes","Cacatuidae (Cockatoos)","Cacatua alba"
"Peacock Coquette","Lophornis pavoninus","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Lophornis pavoninus"
"Great White Pelican","Pelecanus onocrotalus","species","Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus onocrotalus"
"Peters's Twinspot","Hypargos niveoguttatus","species","Passeriformes","Estrildidae (Waxbills and Allies)","Hypargos niveoguttatus"
"Pink-backed Pelican","Pelecanus rufescens","species","Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus rufescens"
"Abdim's Stork","Ciconia abdimii","species","Ciconiiformes","Ciconiidae (Storks)","Ciconia abdimii"
"Yellow-billed Stork","Mycteria ibis","species","Ciconiiformes","Ciconiidae (Storks)","Mycteria ibis"
"Eurasian Jay","Garrulus glandarius","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Garrulus glandarius"
"Swinhoe's Pheasant","Lophura swinhoii","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lophura swinhoii"
"White-rumped Seedeater","Crithagra leucopygia","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Crithagra leucopygia"
"Red-and-green Macaw","Ara chloropterus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Ara chloropterus"
"Sunbittern","Eurypyga helias","species","Eurypygiformes","Eurypygidae (Sunbittern)","Eurypyga helias"
"Red-billed Firefinch","Lagonosticta senegala","species","Passeriformes","Estrildidae (Waxbills and Allies)","Lagonosticta senegala"
"White-eared Bulbul","Pycnonotus leucotis","species","Passeriformes","Pycnonotidae (Bulbuls)","Pycnonotus leucotis"
"Asian Fairy-bluebird","Irena puella","species","Passeriformes","Irenidae (Fairy-bluebirds)","Irena puella"
"Southern Screamer","Chauna torquata","species","Anseriformes","Anhimidae (Screamers)","Chauna torquata"
"Kori Bustard","Ardeotis kori","species","Otidiformes","Otididae (Bustards)","Ardeotis kori"
"Red-rumped Parrot","Psephotus haematonotus","species","Psittaciformes","Psittaculidae (Old World Parrots)","Psephotus haematonotus"
"Silver-beaked Tanager","Ramphocelus carbo","species","Passeriformes","Thraupidae (Tanagers and Allies)","Ramphocelus carbo"
"Lemon Dove","Columba larvata","species","Columbiformes","Columbidae (Pigeons and Doves)","Columba larvata"
"Black Crake","Zapornia flavirostra","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Zapornia flavirostra"
"White Stork","Ciconia ciconia","species","Ciconiiformes","Ciconiidae (Storks)","Ciconia ciconia"
"Golden Grosbeak","Pheucticus chrysogaster","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Pheucticus chrysogaster"
"Blue Crane","Anthropoides paradiseus","species","Gruiformes","Gruidae (Cranes)","Anthropoides paradiseus"
"Lesson's Motmot","Momotus lessonii","species","Coraciiformes","Momotidae (Motmots)","Momotus lessonii"
"Andean Flamingo","Phoenicoparrus andinus","species","Phoenicopteriformes","Phoenicopteridae (Flamingos)","Phoenicoparrus andinus"
"Yellow-billed Cardinal","Paroaria capitata","species","Passeriformes","Thraupidae (Tanagers and Allies)","Paroaria capitata"
"White-lined Tanager","Tachyphonus rufus","species","Passeriformes","Thraupidae (Tanagers and Allies)","Tachyphonus rufus"
"Greater Coucal","Centropus sinensis","issf","Cuculiformes","Cuculidae (Cuckoos)","Centropus sinensis"
"Epaulet Oriole","Icterus cayanensis","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus cayanensis"
"Black-necked Crane","Grus nigricollis","species","Gruiformes","Gruidae (Cranes)","Grus nigricollis"
"White-naped Crane","Antigone vipio","species","Gruiformes","Gruidae (Cranes)","Antigone vipio"
"Red-crowned Crane","Grus japonensis","species","Gruiformes","Gruidae (Cranes)","Grus japonensis"
"Brolga","Antigone rubicunda","species","Gruiformes","Gruidae (Cranes)","Antigone rubicunda"
"Siberian Crane","Leucogeranus leucogeranus","species","Gruiformes","Gruidae (Cranes)","Leucogeranus leucogeranus"
"White-rumped Shama","Copsychus malabaricus","species","Passeriformes","Muscicapidae (Old World Flycatchers)","Copsychus malabaricus"
"Demoiselle Crane","Anthropoides virgo","species","Gruiformes","Gruidae (Cranes)","Anthropoides virgo"
"Sarus Crane","Antigone antigone","species","Gruiformes","Gruidae (Cranes)","Antigone antigone"
"Wattled Crane","Bugeranus carunculatus","species","Gruiformes","Gruidae (Cranes)","Bugeranus carunculatus"
"Black Crowned-Crane","Balearica pavonina","species","Gruiformes","Gruidae (Cranes)","Balearica pavonina"
"Gray Crowned-Crane","Balearica regulorum","species","Gruiformes","Gruidae (Cranes)","Balearica regulorum"
"Keel-billed Toucan","Ramphastos sulfuratus","species","Piciformes","Ramphastidae (Toucans)","Ramphastos sulfuratus"
"Black-and-white Mannikin","Spermestes bicolor","species","Passeriformes","Estrildidae (Waxbills and Allies)","Spermestes bicolor"
"Laughing Kookaburra","Dacelo novaeguineae","species","Coraciiformes","Alcedinidae (Kingfishers)","Dacelo novaeguineae"
"Hottentot Teal","Spatula hottentota","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula hottentota"
"Island Canary","Serinus canaria","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Serinus canaria"
"James's Flamingo","Phoenicoparrus jamesi","species","Phoenicopteriformes","Phoenicopteridae (Flamingos)","Phoenicoparrus jamesi"
"Zebra Waxbill","Sporaeginthus subflavus","species","Passeriformes","Estrildidae (Waxbills and Allies)","Sporaeginthus subflavus"
"Purple Grenadier","Granatina ianthinogaster","species","Passeriformes","Estrildidae (Waxbills and Allies)","Granatina ianthinogaster"
"Silver Pheasant","Lophura nycthemera","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lophura nycthemera"
"Blue Dacnis","Dacnis cayana","species","Passeriformes","Thraupidae (Tanagers and Allies)","Dacnis cayana"
"Purple Honeycreeper","Cyanerpes caeruleus","species","Passeriformes","Thraupidae (Tanagers and Allies)","Cyanerpes caeruleus"
"Java Sparrow","Lonchura oryzivora","species","Passeriformes","Estrildidae (Waxbills and Allies)","Lonchura oryzivora"
"Australian Shelduck","Tadorna tadornoides","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna tadornoides"
"Turquoise Tanager","Tangara mexicana","species","Passeriformes","Thraupidae (Tanagers and Allies)","Tangara mexicana"
"Black-faced Dacnis","Dacnis lineata","species","Passeriformes","Thraupidae (Tanagers and Allies)","Dacnis lineata"
"Star Finch","Neochmia ruficauda","species","Passeriformes","Estrildidae (Waxbills and Allies)","Neochmia ruficauda"
"Blue-winged Mountain-Tanager","Anisognathus somptuosus","species","Passeriformes","Thraupidae (Tanagers and Allies)","Anisognathus somptuosus"
"Opal-rumped Tanager","Tangara velia","species","Passeriformes","Thraupidae (Tanagers and Allies)","Tangara velia"
"Green Honeycreeper","Chlorophanes spiza","species","Passeriformes","Thraupidae (Tanagers and Allies)","Chlorophanes spiza"
"Red-headed Lovebird","Agapornis pullarius","species","Psittaciformes","Psittaculidae (Old World Parrots)","Agapornis pullarius"
"Red-cheeked Cordonbleu","Uraeginthus bengalus","species","Passeriformes","Estrildidae (Waxbills and Allies)","Uraeginthus bengalus"
"Black Francolin","Francolinus francolinus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Francolinus francolinus"
"Long-tailed Starling","Aplonis magna","species","Passeriformes","Sturnidae (Starlings)","Aplonis magna"
"Cut-throat","Amadina fasciata","species","Passeriformes","Estrildidae (Waxbills and Allies)","Amadina fasciata"
"Diamond Firetail","Stagonopleura guttata","species","Passeriformes","Estrildidae (Waxbills and Allies)","Stagonopleura guttata"
"Red-breasted Parakeet","Psittacula alexandri","species","Psittaciformes","Psittaculidae (Old World Parrots)","Psittacula alexandri"
"Hyacinth Macaw","Anodorhynchus hyacinthinus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Anodorhynchus hyacinthinus"
"Sudan Golden Sparrow","Passer luteus","species","Passeriformes","Passeridae (Old World Sparrows)","Passer luteus"
"Gray Parrot","Psittacus erithacus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacus erithacus"
"Emerald Starling","Lamprotornis iris","species","Passeriformes","Sturnidae (Starlings)","Lamprotornis iris"
"Black-rumped Waxbill","Estrilda troglodytes","species","Passeriformes","Estrildidae (Waxbills and Allies)","Estrilda troglodytes"
"White-necked Raven","Corvus albicollis","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus albicollis"
"White-winged Collared-Dove","Streptopelia reichenowi","species","Columbiformes","Columbidae (Pigeons and Doves)","Streptopelia reichenowi"
"Great Thrush","Turdus fuscater","species","Passeriformes","Turdidae (Thrushes and Allies)","Turdus fuscater"
"Black Flowerpiercer","Diglossa humeralis","species","Passeriformes","Thraupidae (Tanagers and Allies)","Diglossa humeralis"
"Black-tailed Trainbearer","Lesbia victoriae","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Lesbia victoriae"
"Cinereous Conebill","Conirostrum cinereum","species","Passeriformes","Thraupidae (Tanagers and Allies)","Conirostrum cinereum"
"Eared Dove","Zenaida auriculata","species","Columbiformes","Columbidae (Pigeons and Doves)","Zenaida auriculata"
"Sparkling Violetear","Colibri coruscans","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Colibri coruscans"
"White-throated Magpie-Jay","Calocitta formosa","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Calocitta formosa"
"Bourke's Parrot","Neophema bourkii","species","Psittaciformes","Psittaculidae (Old World Parrots)","Neophema bourkii"
"Madagascar Ibis","Lophotibis cristata","species","Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Lophotibis cristata"
"Wrinkled Hornbill","Rhabdotorrhinus corrugatus","species","Bucerotiformes","Bucerotidae (Hornbills)","Rhabdotorrhinus corrugatus"
"Bearded Barbet","Lybius dubius","species","Piciformes","Lybiidae (African Barbets)","Lybius dubius"
"Stone Partridge","Ptilopachus petrosus","issf","Galliformes","Odontophoridae (New World Quail)","Ptilopachus petrosus"
"Yellow-fronted Parrot","Poicephalus flavifrons","species","Psittaciformes","Psittacidae (New World and African Parrots)","Poicephalus flavifrons"
"Zebra Dove","Geopelia striata","species","Columbiformes","Columbidae (Pigeons and Doves)","Geopelia striata"
"Common Quail","Coturnix coturnix","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Coturnix coturnix"
"Lilian's Lovebird","Agapornis lilianae","species","Psittaciformes","Psittaculidae (Old World Parrots)","Agapornis lilianae"
"King Penguin","Aptenodytes patagonicus","species","Sphenisciformes","Spheniscidae (Penguins)","Aptenodytes patagonicus"
"West Indian Whistling-Duck","Dendrocygna arborea","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna arborea"
"Red-breasted Goose","Branta ruficollis","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta ruficollis"
"Lesser Whistling-Duck","Dendrocygna javanica","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna javanica"
"Yellow Canary","Crithagra flaviventris","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Crithagra flaviventris"
"Indian Silverbill","Euodice malabarica","species","Passeriformes","Estrildidae (Waxbills and Allies)","Euodice malabarica"
"Chestnut-throated Seedeater","Sporophila telasco","species","Passeriformes","Thraupidae (Tanagers and Allies)","Sporophila telasco"
"Baer's Pochard","Aythya baeri","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aythya baeri"
"Magpie Mannikin","Spermestes fringilloides","species","Passeriformes","Estrildidae (Waxbills and Allies)","Spermestes fringilloides"
"White-rumped Munia","Lonchura striata","species","Passeriformes","Estrildidae (Waxbills and Allies)","Lonchura striata"
"Radjah Shelduck","Tadorna radjah","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna radjah"
"Red-billed Duck","Anas erythrorhyncha","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas erythrorhyncha"
"Gray Go-away-bird","Corythaixoides concolor","species","Cuculiformes","Musophagidae (Turacos)","Corythaixoides concolor"
"Social Weaver","Philetairus socius","species","Passeriformes","Ploceidae (Weavers and Allies)","Philetairus socius"
"Blue-faced Honeyeater","Entomyzon cyanotis","species","Passeriformes","Meliphagidae (Honeyeaters)","Entomyzon cyanotis"
"Oriental Pied-Hornbill","Anthracoceros albirostris","species","Bucerotiformes","Bucerotidae (Hornbills)","Anthracoceros albirostris"
"Blue-breasted Quail","Synoicus chinensis","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Synoicus chinensis"
"Blue-capped Motmot","Momotus coeruliceps","species","Coraciiformes","Momotidae (Motmots)","Momotus coeruliceps"
"Great Argus","Argusianus argus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Argusianus argus"
"Sulawesi Ground-Dove","Gallicolumba tristigmata","species","Columbiformes","Columbidae (Pigeons and Doves)","Gallicolumba tristigmata"
"Nicobar Pigeon","Caloenas nicobarica","species","Columbiformes","Columbidae (Pigeons and Doves)","Caloenas nicobarica"
"Black-throated Canary","Crithagra atrogularis","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Crithagra atrogularis"
"Blue-gray Tanager","Thraupis episcopus","species","Passeriformes","Thraupidae (Tanagers and Allies)","Thraupis episcopus"
"Village Indigobird","Vidua chalybeata","species","Passeriformes","Viduidae (Indigobirds)","Vidua chalybeata"
"Lilac-breasted Roller","Coracias caudatus","species","Coraciiformes","Coraciidae (Rollers)","Coracias caudatus"
"White-breasted Guineafowl","Agelastes meleagrides","species","Galliformes","Numididae (Guineafowl)","Agelastes meleagrides"
"Yellow-crested Cockatoo","Cacatua sulphurea","species","Psittaciformes","Cacatuidae (Cockatoos)","Cacatua sulphurea"
"Black-headed Weaver","Ploceus melanocephalus","species","Passeriformes","Ploceidae (Weavers and Allies)","Ploceus melanocephalus"
