COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Crimson-collared Grosbeak,Rhodothraupis celaeno,species,Passeriformes,Cardinalidae (Cardinals and Allies),Rhodothraupis celaeno,N
Crissal Thrasher,Toxostoma crissale,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma crissale,N
Curlew Sandpiper,Calidris ferruginea,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris ferruginea,N
Curve-billed Thrasher,Toxostoma curvirostre,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma curvirostre,N
Dark-eyed Junco,Junco hyemalis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Junco hyemalis,N
Dickcissel,Spiza americana,species,Passeriformes,Cardinalidae (Cardinals and Allies),Spiza americana,N
Domestic goose sp. (Domestic type),Anser sp. (Domestic type),domestic,NA,NA,NA,E
Double-crested Cormorant,Phalacrocorax auritus,species,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax auritus,N
Downy Woodpecker,Picoides pubescens,species,Piciformes,Picidae (Woodpeckers),Picoides pubescens,N
Dunlin,Calidris alpina,species,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris alpina,N
Dusky Flycatcher,Empidonax oberholseri,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax oberholseri,N
Dusky Grouse,Dendragapus obscurus,species,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Dendragapus obscurus,N
Dusky-capped Flycatcher,Myiarchus tuberculifer,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus tuberculifer,N
Eared Grebe,Podiceps nigricollis,species,Podicipediformes,Podicipedidae (Grebes),Podiceps nigricollis,N
Eastern Bluebird,Sialia sialis,species,Passeriformes,Turdidae (Thrushes and Allies),Sialia sialis,N
Eastern Kingbird,Tyrannus tyrannus,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus tyrannus,N
Eastern Meadowlark,Sturnella magna,species,Passeriformes,Icteridae (Troupials and Allies),Sturnella magna,N
Eastern Phoebe,Sayornis phoebe,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis phoebe,N
Eastern Screech-Owl,Megascops asio,species,Strigiformes,Strigidae (Owls),Megascops asio,N
Eastern Towhee,Pipilo erythrophthalmus,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Pipilo erythrophthalmus,N
Eastern Whip-poor-will,Antrostomus vociferus,species,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Antrostomus vociferus,N
Eastern Wood-Pewee,Contopus virens,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus virens,N
Egyptian Goose,Alopochen aegyptiaca,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen aegyptiaca,E
Elegant Tern,Thalasseus elegans,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Thalasseus elegans,N
Elegant Trogon,Trogon elegans,species,Trogoniformes,Trogonidae (Trogons),Trogon elegans,N
Elf Owl,Micrathene whitneyi,species,Strigiformes,Strigidae (Owls),Micrathene whitneyi,N
Emperor Goose,Anser canagicus,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser canagicus,N
Eurasian Collared-Dove,Streptopelia decaocto,species,Columbiformes,Columbidae (Pigeons and Doves),Streptopelia decaocto,E
Eurasian Tree Sparrow,Passer montanus,species,Passeriformes,Passeridae (Old World Sparrows),Passer montanus,E
Eurasian Wigeon,Mareca penelope,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca penelope,N
European Goldfinch,Carduelis carduelis,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis carduelis,N
European Starling,Sturnus vulgaris,species,Passeriformes,Sturnidae (Starlings),Sturnus vulgaris,E
